Name,Nationality,Gender,Birth,Death,Age,Total Works,Total Departments,Architecture & Design,Fluxus Collection,Drawings & Prints,Painting & Sculpture,Media and Performance,Photography,Film,Architecture & Design - Image Archive,Common Department,Start Work Date,End Work Date,Total Years
0.61102605,0.015384615,0.5,0.9534301,0.97381425,0.032624815,0.004470939,0.0,0.0,0.0,0.0,0.0,0.0,0.0135162,0.0,0.0,1.0,0.0028974016,0.962432,0.14018692
0.07810107,0.015384615,1.0,0.9714572,0.0,0.041028176,3.7257824E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0047704233,0.0,0.0,1.0,0.0033955511,0.97825015,0.06542056
0.41730475,0.015384615,1.0,0.9654482,0.993083,0.040039547,0.0019560358,0.2,9.3153234E-5,0.0,0.011869436,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0033752185,0.97874445,0.009345794
0.6424196,0.015384615,1.0,0.9128693,0.9367589,0.03559071,0.003632638,0.0,0.0,0.0,0.0,0.0,0.0,0.011727291,0.0,0.0,1.0,0.002063763,0.92486405,0.08411215
0.16232772,0.33846155,1.0,0.93940914,0.96689725,0.03954523,0.0013971684,0.4,0.0,0.0,0.0017804154,0.15277778,0.0,0.0035778175,0.0,0.0,1.0,0.0027957382,0.96737516,0.18691589
0.10413476,0.10769231,1.0,0.9534301,0.97974306,0.038556598,0.008010432,0.0,0.0,0.0,0.0,0.0,0.0,0.02106937,0.0,0.0,1.0,0.0029990647,0.9713297,0.28037384
0.32388973,0.33846155,1.0,0.9424136,0.9698617,0.03954523,0.014996274,0.4,0.0012109921,0.0,0.046884272,0.1388889,0.0,0.0,0.0,0.0,0.16666667,0.002755073,0.9708354,0.2897196
0.11408882,0.33846155,1.0,0.95092636,0.9802371,0.04152249,0.008755589,0.2,0.0,0.0,2.967359E-4,0.0,0.0,0.022460744,0.0,0.0,1.0,0.0029990647,0.9678695,0.18691589
0.31393567,0.015384615,1.0,0.96444666,0.9920949,0.040039547,0.02431073,0.4,0.0,0.09660574,0.07210682,0.013888889,0.0,0.0,0.0,0.0,0.16666667,0.003293888,0.99159664,0.26168224
0.050535988,0.33846155,1.0,0.94942415,0.9713439,0.03410776,0.0010245901,0.4,9.3153234E-5,0.0,0.008605341,0.013888889,0.0,0.0,0.0,0.0,0.16666667,0.002877069,0.96045476,0.06542056
0.60643184,0.015384615,1.0,0.95242864,0.97875494,0.038556598,0.0010245901,0.0,0.0028877503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029177342,0.97923875,0.13084112
0.96018374,0.015384615,1.0,0.9619429,0.9920949,0.04251112,9.314456E-4,0.0,0.0,0.0,0.008902078,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0031718921,0.981216,0.056074765
0.6071975,0.07692308,1.0,0.9634452,0.97628456,0.025210084,0.0069858423,0.6,0.0,0.0,0.021364985,0.2361111,0.014563107,5.963029E-4,0.0,0.0,0.16666667,0.0032430564,0.9762729,0.14018692
0.41807044,0.015384615,1.0,0.9769654,0.9980237,0.033613447,0.004005216,0.0,0.0,0.0,0.018694362,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0035277135,0.9836876,0.018691588
0.8215926,0.015384615,1.0,0.9719579,0.98666006,0.027187346,4.657228E-4,0.2,0.0,0.0,0.0071216617,0.013888889,0.0,0.0,0.0,0.0,0.16666667,0.0034870482,0.9841819,0.028037382
0.6990812,0.015384615,1.0,0.989985,0.0,0.022738507,1.8628912E-4,0.0,0.0020493711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039242,0.9995057,0.009345794
0.7955589,0.015384615,1.0,0.9639459,0.9733202,0.021749876,0.01164307,0.0,0.013507219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003202391,0.9738013,0.13084112
0.848392,0.15384616,1.0,0.9629444,0.0,0.049431536,9.314456E-5,0.0,0.0,0.0,0.006231454,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0033955511,0.97330695,0.0
0.9609495,0.75384617,1.0,0.9744617,0.0,0.038062282,8.38301E-4,0.0,0.0,0.0,0.008605341,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0033853848,0.97330695,0.009345794
0.35222054,0.06153846,1.0,0.9704557,1.0,0.042016808,0.0027011922,0.4,0.0,0.0,0.0077151335,0.0,0.106796116,1.9876764E-4,0.0,0.0,0.16666667,0.0033040543,0.9940682,0.17757009
0.111026034,0.21538462,1.0,0.9749625,0.0,0.03756797,1.8628912E-4,0.0,0.0020493711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034158838,0.9831933,0.08411215
0.262634,0.015384615,1.0,0.9384076,0.965415,0.039050914,0.0020491802,0.0,0.0,0.0,0.0,0.0,0.0,0.0083482405,0.0,0.0,1.0,0.0029177342,0.9762729,0.1682243
0.4724349,0.015384615,1.0,0.9283926,0.95800394,0.04152249,4.657228E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.004969191,0.0,0.0,1.0,0.0025415802,0.94414234,0.07476635
